"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","Compromise","across","aisle","yields","2","good","policies,","says","@JasonBordoff—free","trade","in","oil","&amp;","support","for","clean","energy:","@FT","https://t.co/0eWhZzXZtg",NA
"2","RT","@GlacierHub:","What","does","the","","#ParisAgreement","mean","for","glaciers?","@GlacierHub","offers","an","analysis","https://t.co/lC1eRaYmhL","","#COP21",NA,NA,NA
"3","Shang-Jin","Wei","discusses","shift","of","supply","chains","from","#China:","@GlobalAutoInd","https://t.co/VRVn1DRmSs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",".","@kaushikcbasu","of","@WorldBank","offers","a","primer","on","@JosephEStiglitz","'s","theories","on","sticky","prices:","@ProSyn","https://t.co/goOvsx0n0g",NA,NA,NA,NA
"5","Citing","@benjamindean","MIA","'14,","SIPA","fellow,","on","cybersecurity:","@OliverHotham","https://t.co/6BZe2E0OrU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Scott","Barrett","says","Global","Consensus","on","Climate","Change","Is","a","Good","Start:","@YaleGlobal","https://t.co/bEgkxNhn0H",NA,NA,NA,NA,NA,NA
"7","Sachs","calls","#COP21","agreement","a","triumph","of","diplomacy","and","gets","into","the","weeds","on","a","few","details:","@BrianLehrer","(AUDIO)","https://t.co/AWE6uvWyNM"
"8","Mari","Pangestu","joined","a","panel","that","discussed","the","case","for","expanded","economic","cooperation","in","Asia:","@AsiaSociety","(VIDEO)","https://t.co/l7ttKXU8cx",NA,NA
"9","Sachs","calls","#COP21","agreement","a","triumph","of","diplomacy","and","gets","into","the","weeds","on","a","few","details:","@BrianLehrer","(AUDIO)","https://t.co/AWE6uvWyNM"
"10","Facebook","has","tweaked","its","'real","name'","policy;","Peter","Micek","comments:","@motherboard","https://t.co/4xRtf7OQI0",NA,NA,NA,NA,NA,NA,NA,NA
"11","SIPA's","@Claudiadreifus","interviews","geneticist","Evelyn","M.","Witkin:","@nytimes","https://t.co/nQ0KxUBihR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","On","#COP21,","described","by","@JeffDSachs","as","“diplomatic","triumph”:","@NewYorker","https://t.co/BTL5Gq9YSm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","The","once-proud","ambitions","of","#Brazil","and","#Venezuela","now","seem","delusional,","writes","Christopher","Sabatini:","@ForeignPolicy","https://t.co/NkhAaw6cK4",NA,NA,NA,NA,NA
"14","Christopher","Sabatini","spoke","with","@CNN","about","Argentina's","economic","troubles","and","election","of","a","new","president:","(VIDEO)","https://t.co/7R5HHhjsd6",NA,NA,NA
"15","Profiling","Anthony","Guerbidjian","MIA","'16","and","NaTakallam","tutoring","program","that","employs","Syrian","refugees:","@agbu","https://t.co/F4XbBwR5T6",NA,NA,NA,NA,NA
"16","[italiano]","Yasmine","Ergas","writes","about","Italy's","heated","debate","over","surrogacy","and","adoption:","@pagina_99","https://t.co/uUFTzbC6ux",NA,NA,NA,NA,NA,NA
"17","Solid","waste","management","remains","a","challenge","for","large","urban","areas","worldwide,","writes","@StevenACohen:","@HuffPostGreen","https://t.co/ax6U09ugcz",NA,NA,NA,NA,NA
"18","The","Sad","Death","of","the","Latin","American","Left:","@ChrisSabatini","writes","in","@ForeignPolicy","https://t.co/NkhAaw6cK4",NA,NA,NA,NA,NA,NA,NA
"19","Prof.","Wojciech","Kopczuk","is","cited","in","@ForeignAffairs","Does","Inequality","Matter?","https://t.co/B2dDlPSIvZ","#economics","#inequality","#politics",NA,NA,NA,NA,NA,NA
"20","MT","@KristenGrennan:","Earlier","this","week","our","@ColumbiaSIPA","class","visited","@hrw","HQ","to","discuss","#HumanRights","&amp;","#advocacy!","https://t.co/CyY7DlAo28",NA,NA,NA
"21",".@JeffDSachs","writes","for","@FT:","Let's","hail","the","Paris","#ClimateChange","agreement","and","get","to","work!","https://t.co/qoXqdxVwJC","#cop21","#paristalks",NA,NA,NA
"22","RT","@JasonBordoff:","Why","is","#COP21","deal","so","important?","@ColumbiaUEnergy's","David","Sandalow","explains","on","@CNN","https://t.co/VtAq63zIGC",NA,NA,NA,NA,NA
"23","“Capital","markets","will","be","the","main","driver”","for","action","on","climate,","says","@JeffDSachs:","@Environment_New","https://t.co/u99pJh9tFC",NA,NA,NA,NA,NA
"24","Despite","falling","prices,","#OPEC","will","increase","oil","production;","@JasonBordoff","comments:","@Marketplace","(w/","audio)","https://t.co/TwXobBfWQ4",NA,NA,NA,NA,NA,NA
"25","Prof","@StevenACohen","joins","@scifri","to","discuss","#COP21:","Will","#ParisTalks","Lead","to","a","Better,","Binding","#Climate","Agreement?","https://t.co/IGZvaz0v4o",NA,NA,NA
"26",".@TIMEWorld","cites","@ColumbiaUEnergy","Report","on","the","impact","of","the","decline","in","#oil","prices","on","#Venezuelan","https://t.co/hmaM3pnM7y","@OilandEnergy",NA,NA,NA
"27","Timely","interview:","U.S.","Energy","Secretary","@ErnestMoniz","discusses","energy","innovation","w/","David","Sandalow:","@ColumbiaUEnergy","https://t.co/9YtxXMMEjX",NA,NA,NA,NA,NA,NA
"28","Reflections","on","the","centre","left","in","two","continents—Europe","and","Latin","America—by","@AndresVelasco:","@policynetwork","https://t.co/2RqXkn4xvB",NA,NA,NA,NA,NA,NA
"29","Diversity","makes","you","brighter,","writes","SIPA","prof","David","Stark","https://t.co/qsoB3laLbH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","U.S.","needs","to","invest","more","in","#energy","innovation,","says","@reidhoffman","(citing","@JasonBordoff):","@LinkedIn","https://t.co/zn1CbAdnY7",NA,NA,NA,NA,NA,NA
"31","Ester","Fuchs","says","Sheldon","Silver","conviction","reveals","a","structural","problem","in","New","York","State","politics:","@NYJewishWeek","https://t.co/qcJB1Xq0TN",NA,NA,NA
